,Epoch,Time,Batch,Disc Loss,Accuracy, Gen Loss, MAE, Gen Sim Loss,GAN Loss
0,1,29.62062907218933,1,-0.23499342799186707,0.08124999701976776,0.0019373067189007998,12.191065788269043,0.9907793998718262,244.81210327148438
1,1,9.526305437088013,2,-0.3554719388484955,0.19374999403953552,-8.559997513657436e-05,13.662074089050293,0.9558266401290894,274.19732666015625
2,2,9.258208513259888,1,-0.45000067353248596,0.24375000596046448,-0.0035735159181058407,13.976499557495117,0.8905298113822937,280.4205017089844
3,2,9.23363447189331,2,-0.5597192645072937,0.48124998807907104,-0.007685072720050812,12.705260276794434,0.7895537614822388,254.89468383789062
4,3,8.911965370178223,1,-0.65631103515625,0.574999988079071,-0.012261471711099148,13.388490676879883,0.8342642784118652,268.60394287109375
5,3,9.05554485321045,2,-0.757684051990509,0.800000011920929,-0.01724650338292122,12.069192886352539,0.8593185544013977,242.2429962158203
6,4,9.0507071018219,1,-0.8962472677230835,0.875,-0.022256992757320404,12.494636535644531,0.7816163301467896,250.6741180419922
7,4,8.66251826286316,2,-1.0143482685089111,0.925000011920929,-0.027637049555778503,12.219062805175781,0.8646754026412964,245.2456512451172
8,5,8.846203804016113,1,-1.145111083984375,0.96875,-0.03340145945549011,12.193921089172363,0.8056104779243469,244.68368530273438
9,5,8.55238962173462,2,-1.2774547338485718,1.0,-0.03921567648649216,12.393203735351562,0.8135337829589844,248.67721557617188
10,6,8.615694761276245,1,-1.408825159072876,1.0,-0.0446934849023819,12.852899551391602,0.8689041137695312,257.92645263671875
11,6,8.910811424255371,2,-1.5478990077972412,1.0,-0.050357379019260406,13.735115051269531,0.8022491335868835,275.5040588378906
12,7,8.605609893798828,1,-1.684627890586853,1.0,-0.05513717606663704,12.960630416870117,0.7812838554382324,259.99334716796875
13,7,8.751617670059204,2,-1.8253360986709595,1.0,-0.05950107425451279,13.547403335571289,0.7616577744483948,271.7091369628906
14,8,9.146135091781616,1,-1.967759370803833,1.0,-0.06278284639120102,12.890820503234863,0.7107946872711182,258.5265808105469
15,8,9.07110047340393,2,-2.1143455505371094,1.0,-0.06508302688598633,11.731620788574219,0.7532673478126526,235.38504028320312
16,9,9.137829542160034,1,-2.262688636779785,1.0,-0.06648498773574829,12.651809692382812,0.9086037874221802,253.9441375732422
17,9,9.22409439086914,2,-2.4173104763031006,1.0,-0.06542910635471344,13.01879596710205,0.8049491047859192,261.1802062988281
18,10,9.273825645446777,1,-2.573085069656372,1.0,-0.06248464435338974,11.532889366149902,0.9061824679374695,231.5633544921875
19,10,9.238023281097412,2,-2.734982967376709,1.0,-0.05870760604739189,13.448760986328125,0.790428638458252,269.76507568359375
20,11,9.233635902404785,1,-2.900484323501587,1.0,-0.05311499908566475,12.32646369934082,0.8646402359008789,247.3933563232422
21,11,9.27268385887146,2,-3.070664882659912,1.0,-0.04405117779970169,13.33911418914795,0.8164054155349731,267.5982666015625
22,12,9.257915258407593,1,-3.245755434036255,1.0,-0.03367944434285164,11.339815139770508,0.7459201216697693,227.54190063476562
